feature,p.value_tx,FDR_tx,logFC_tx,p.value_time,FDR_time,p.value_interaction,FDR_interaction,tx,time,Mean_Ice_15,Mean_Ice_30,Mean_Ice_60,Mean_Ice_90,Mean_RT_15,Mean_RT_30,Mean_RT_60,Mean_RT_90
C18_151.026156447712_27.6074604220987,0.04197747154140704,0.9728307619644055,0.7281543885812769,0.33269180339299426,1,0.472902562100308,1,RT,60,NA,NA,NA,NA,NA,NA,28.619517417499594,NA
C18_151.026156447712_27.6074604220987,0.04197747154140704,0.9728307619644055,0.7281543885812769,0.33269180339299426,1,0.472902562100308,1,RT,90,NA,NA,NA,NA,NA,NA,NA,29.260280927304038
HILIC_151.038882451136_183.017834772226,0.3010628658894786,0.9969365741869346,0.31734824104699433,0.8842456381533118,1,0.8494176254230902,1,Ice,15,22.353603586850888,NA,NA,NA,NA,NA,NA,NA
HILIC_151.038882451136_183.017834772226,0.3010628658894786,0.9969365741869346,0.31734824104699433,0.8842456381533118,1,0.8494176254230902,1,Ice,30,NA,22.33548103806537,NA,NA,NA,NA,NA,NA
HILIC_151.038882451136_183.017834772226,0.3010628658894786,0.9969365741869346,0.31734824104699433,0.8842456381533118,1,0.8494176254230902,1,Ice,60,NA,NA,22.549649161323636,NA,NA,NA,NA,NA
HILIC_151.038882451136_183.017834772226,0.3010628658894786,0.9969365741869346,0.31734824104699433,0.8842456381533118,1,0.8494176254230902,1,Ice,90,NA,NA,NA,22.364268272424844,NA,NA,NA,NA
HILIC_151.038882451136_183.017834772226,0.3010628658894786,0.9969365741869346,0.31734824104699433,0.8842456381533118,1,0.8494176254230902,1,RT,15,NA,NA,NA,NA,22.67095182789788,NA,NA,NA
HILIC_151.038882451136_183.017834772226,0.3010628658894786,0.9969365741869346,0.31734824104699433,0.8842456381533118,1,0.8494176254230902,1,RT,30,NA,NA,NA,NA,NA,22.80390901447182,NA,NA
HILIC_151.038882451136_183.017834772226,0.3010628658894786,0.9969365741869346,0.31734824104699433,0.8842456381533118,1,0.8494176254230902,1,RT,60,NA,NA,NA,NA,NA,NA,22.800878700854657,NA
HILIC_151.038882451136_183.017834772226,0.3010628658894786,0.9969365741869346,0.31734824104699433,0.8842456381533118,1,0.8494176254230902,1,RT,90,NA,NA,NA,NA,NA,NA,NA,22.708412199751674
C18_151.04006632282_291.096013475453,0.1185553390215062,0.9728307619644055,-0.36230489728585485,0.4436821419682814,1,0.5555755068175628,1,Ice,15,21.74144076774837,NA,NA,NA,NA,NA,NA,NA
C18_151.04006632282_291.096013475453,0.1185553390215062,0.9728307619644055,-0.36230489728585485,0.4436821419682814,1,0.5555755068175628,1,Ice,30,NA,21.552611468294547,NA,NA,NA,NA,NA,NA
C18_151.04006632282_291.096013475453,0.1185553390215062,0.9728307619644055,-0.36230489728585485,0.4436821419682814,1,0.5555755068175628,1,Ice,60,NA,NA,21.787280187859604,NA,NA,NA,NA,NA
C18_151.04006632282_291.096013475453,0.1185553390215062,0.9728307619644055,-0.36230489728585485,0.4436821419682814,1,0.5555755068175628,1,Ice,90,NA,NA,NA,21.463005476993718,NA,NA,NA,NA
C18_151.04006632282_291.096013475453,0.1185553390215062,0.9728307619644055,-0.36230489728585485,0.4436821419682814,1,0.5555755068175628,1,RT,15,NA,NA,NA,NA,21.379135870462513,NA,NA,NA
C18_151.04006632282_291.096013475453,0.1185553390215062,0.9728307619644055,-0.36230489728585485,0.4436821419682814,1,0.5555755068175628,1,RT,30,NA,NA,NA,NA,NA,21.474176242764006,NA,NA
C18_151.04006632282_291.096013475453,0.1185553390215062,0.9728307619644055,-0.36230489728585485,0.4436821419682814,1,0.5555755068175628,1,RT,60,NA,NA,NA,NA,NA,NA,21.601093583723266,NA
C18_151.04006632282_291.096013475453,0.1185553390215062,0.9728307619644055,-0.36230489728585485,0.4436821419682814,1,0.5555755068175628,1,RT,90,NA,NA,NA,NA,NA,NA,NA,21.562633717182702
C18_151.040056884247_31.1604084398338,0.6045121202061408,0.9969365741869346,0.16403343369038925,0.9233715663473978,1,0.34951056820619375,1,Ice,15,22.970014336010436,NA,NA,NA,NA,NA,NA,NA
C18_151.040056884247_31.1604084398338,0.6045121202061408,0.9969365741869346,0.16403343369038925,0.9233715663473978,1,0.34951056820619375,1,Ice,30,NA,23.182806261760213,NA,NA,NA,NA,NA,NA
C18_151.040056884247_31.1604084398338,0.6045121202061408,0.9969365741869346,0.16403343369038925,0.9233715663473978,1,0.34951056820619375,1,Ice,60,NA,NA,23.05889560631955,NA,NA,NA,NA,NA
C18_151.040056884247_31.1604084398338,0.6045121202061408,0.9969365741869346,0.16403343369038925,0.9233715663473978,1,0.34951056820619375,1,Ice,90,NA,NA,NA,23.03853633302289,NA,NA,NA,NA
C18_151.040056884247_31.1604084398338,0.6045121202061408,0.9969365741869346,0.16403343369038925,0.9233715663473978,1,0.34951056820619375,1,RT,15,NA,NA,NA,NA,23.134047769700828,NA,NA,NA
C18_151.040056884247_31.1604084398338,0.6045121202061408,0.9969365741869346,0.16403343369038925,0.9233715663473978,1,0.34951056820619375,1,RT,30,NA,NA,NA,NA,NA,22.794428111546747,NA,NA
C18_151.040056884247_31.1604084398338,0.6045121202061408,0.9969365741869346,0.16403343369038925,0.9233715663473978,1,0.34951056820619375,1,RT,60,NA,NA,NA,NA,NA,NA,22.679247516462212,NA
C18_151.040056884247_31.1604084398338,0.6045121202061408,0.9969365741869346,0.16403343369038925,0.9233715663473978,1,0.34951056820619375,1,RT,90,NA,NA,NA,NA,NA,NA,NA,23.225779245424214
C18_151.04006995784_171.423542667423,0.18993647536223435,0.9911398709670876,0.4615443477084659,0.001370713882583278,1,0.23277198076549843,1,Ice,15,22.672891226191727,NA,NA,NA,NA,NA,NA,NA
C18_151.04006995784_171.423542667423,0.18993647536223435,0.9911398709670876,0.4615443477084659,0.001370713882583278,1,0.23277198076549843,1,Ice,30,NA,23.207479091545196,NA,NA,NA,NA,NA,NA
C18_151.04006995784_171.423542667423,0.18993647536223435,0.9911398709670876,0.4615443477084659,0.001370713882583278,1,0.23277198076549843,1,Ice,60,NA,NA,22.064570384286313,NA,NA,NA,NA,NA
C18_151.04006995784_171.423542667423,0.18993647536223435,0.9911398709670876,0.4615443477084659,0.001370713882583278,1,0.23277198076549843,1,Ice,90,NA,NA,NA,23.415130019637086,NA,NA,NA,NA
